latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
23.09566,101.16023,330.4,0.4,0.37,2026-08-31,0629,N,low,2.0NRT,294.34,8.88,D
28.49807,97.02458,332.79,0.5,0.41,2026-08-31,0631,N,nominal,2.0NRT,292.86,5.45,D
30.79811,99.00993,326.44,0.4,0.37,2026-08-31,0631,N,nominal,2.0NRT,297.49,2.12,D
36.81882,101.72707,333.82,0.43,0.38,2026-08-31,0633,N,nominal,2.0NRT,301.6,2.19,D
36.89371,101.70216,330.52,0.43,0.38,2026-08-31,0633,N,low,2.0NRT,303.67,3.7,D
37.21944,100.39976,329.57,0.4,0.37,2026-08-31,0633,N,nominal,2.0NRT,296.7,2.19,D
38.49089,100.85876,334.27,0.41,0.37,2026-08-31,0633,N,low,2.0NRT,309.04,2.06,D
6.74823,81.75127,333.23,0.39,0.36,2026-08-31,0807,N,low,2.0NRT,303.36,2.28,D
6.99967,81.60159,335.33,0.39,0.36,2026-08-31,0807,N,low,2.0NRT,306.99,5.33,D
6.99914,81.59812,345.91,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,307,4.66,D
7.00246,81.59761,349.4,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,309.62,4.66,D
7.00193,81.59413,340.51,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,306.28,4.66,D
7.00911,81.5966,334.53,0.39,0.36,2026-08-31,0807,N,low,2.0NRT,307.12,4.34,D
7.07676,81.82498,341.21,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,304.24,3.59,D
7.17094,81.64171,345.22,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,300.2,8.79,D
7.09931,80.83875,330.54,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,300.51,3.8,D
7.1865,81.38634,339.42,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,300.35,4.57,D
7.32466,81.76436,343.9,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,297.2,4.49,D
7.33384,81.80244,340.74,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,300.22,3.07,D
7.47357,81.65829,346.07,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,297.84,9.86,D
7.43173,81.31496,330.4,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,294.08,2.02,D
7.4614,80.99762,354.52,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,299.46,24.03,D
7.52729,80.8979,334.5,0.38,0.36,2026-08-31,0807,N,low,2.0NRT,306.55,2.18,D
7.60614,81.15155,339.35,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,301.8,8.72,D
7.65419,81.40054,335.93,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,305.53,2.94,D
7.70496,81.42134,340.73,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,303.38,6.93,D
7.92286,81.40872,341.88,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,308.16,4.75,D
7.94124,81.30596,352.39,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,313.67,20.34,D
7.94071,81.30248,345.2,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,308.84,20.34,D
7.94456,81.30545,367,0.39,0.36,2026-08-31,0807,N,high,2.0NRT,311.43,20.34,D
7.94403,81.30197,352.31,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,313.41,20.34,D
7.94297,81.295,350.67,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,310,80.22,D
7.73714,79.95287,335.15,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,299.09,3.4,D
7.73915,79.95213,345.5,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,299.7,5.01,D
7.87699,80.62096,331.9,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,302.63,2.86,D
7.88696,80.61943,341.73,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,302.18,3.88,D
8.01197,81.41592,340.12,0.39,0.36,2026-08-31,0807,N,low,2.0NRT,310.95,4.35,D
7.8739,80.07893,348.7,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,305.08,5.31,D
7.88657,80.13833,345.81,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,305.14,7.77,D
7.96847,80.62367,334.81,0.38,0.36,2026-08-31,0807,N,nominal,2.0NRT,303.21,2.45,D
7.9984,80.37608,349.28,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,308.42,6.58,D
7.99786,80.37258,332.12,0.39,0.36,2026-08-31,0807,N,low,2.0NRT,305.98,6.58,D
7.95897,80.09814,338.14,0.39,0.36,2026-08-31,0807,N,low,2.0NRT,304.5,3.06,D
8.03437,80.19405,338.36,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,306.27,6.16,D
8.08878,80.19277,344.37,0.39,0.36,2026-08-31,0807,N,nominal,2.0NRT,305.52,5.01,D
